

1 待机*            0-20 

2 走路*            21-53

3 跑步-正*         54-74

4 跑步-左*         75-95

5 跑步-右*         96-116

6 待机             547-577

7 走路             117-149

8 跑步-正          150-170

9 跑步-左          171-191

10 跑步-右         192-212

11 收起武器~       250-270

12 拔出武器~       270-290

13 受击~           291-307

14 死亡~           308-368

15 普通攻击（单击）*   369-404

16 连续攻击（连击两次）*   405-427

17 甩剑攻击 *      428-495

18 旋转攻击 *      496-546

19 跳跃 - 预动作   213-222

20 跳跃 - 离地到最高点    222-229

21 跳跃 - 落下     229-233

22 跳跃 - 着地回到待机    233-249


